Type;InternalType;Date;Symbol;Raw Symbol;Open;High;Low;Close;Settlement Price;Volume;Open Interest;Duration (ms)
Bar;1;2003/09/25 12:00:00.000;CAC 40;FCEU3^0;3008.922069730705;3017.3112576574636;2995.4061558487056;3017.3112576574636;3017.3112576574636;11766;0;3600000
Bar;1;2003/09/25 13:00:00.000;CAC 40;FCEU3^0;3016.379125665602;3024.302247596429;3008.456003734774;3014.5148616818774;3014.5148616818774;24585;0;3600000
Bar;1;2003/09/25 14:00:00.000;CAC 40;FCEU3^0;3014.9809276778087;3024.7683135923603;2994.4740238568434;3005.659607759188;3005.659607759188;26100;0;3600000
Bar;1;2003/09/25 15:00:00.000;CAC 40;FCEU3^0;3005.659607759188;3020.573719628981;3005.659607759188;3014.5148616818774;3014.5148616818774;26752;0;1800000
Bar;1;2003/09/26 07:00:00.000;CAC 40;FCEU3^0;2994.4740238568434;3012.1845317022226;2989.8133638975332;3008.922069730705;3008.922069730705;17553;0;3600000
Bar;1;2003/09/26 08:00:00.000;CAC 40;FCEU3^0;3008.922069730705;3012.6505976981534;2995.4061558487056;3000.998947799878;3000.998947799878;53378;0;3600000
Bar;1;2003/09/26 09:00:00.000;CAC 40;FCEU3^0;3000.5328818039466;3003.3292777795327;2965.1118661131886;2968.374328084706;2968.374328084706;46448;0;3600000
Bar;1;2003/09/26 10:00:00.000;CAC 40;FCEU3^0;2967.908262088775;2981.4241759707747;2961.3833381457407;2974.4331860318093;2974.4331860318093;8424;0;3600000
Bar;1;2003/09/26 11:00:00.000;CAC 40;FCEU3^0;2974.89925202774;2980.0259779829817;2971.1707240602923;2974.4331860318093;2974.4331860318093;7271;0;3600000
Bar;1;2003/09/26 12:00:00.000;CAC 40;FCEU3^0;2975.3653180236715;2995.4061558487056;2973.0349880440162;2995.4061558487056;2995.4061558487056;11030;0;3600000
Bar;1;2003/09/26 13:00:00.000;CAC 40;FCEU3^0;2994.0079578609125;2997.7364858283604;2980.4920439789125;2992.143693877188;2992.143693877188;15896;0;3600000
